iter	Logloss
0	0.6864287575
5	0.6610597945
10	0.6448844127
15	0.634074023
20	0.626514717
25	0.6208118888
30	0.6165112576
35	0.6131430661
40	0.6101587358
45	0.6078729247
50	0.6056629866
55	0.6038312349
60	0.6023235377
65	0.6009622436
70	0.599639973
75	0.5986299652
80	0.5975875297
85	0.59664702
90	0.5957083527
95	0.5948664154
100	0.5941084212
105	0.5933884189
110	0.5926997386
115	0.5920722654
120	0.5914558839
125	0.5908046058
130	0.5902192147
135	0.5896989367
140	0.5890624721
145	0.5885095454
150	0.5880086502
155	0.5875855811
160	0.5870530322
165	0.5866561631
170	0.5862022141
175	0.585741927
180	0.5853445421
185	0.5849329332
190	0.5844754467
195	0.5840090794
200	0.5836058722
205	0.5831966585
210	0.5827522168
215	0.5823686503
220	0.5819572994
225	0.5816418308
230	0.5811984208
235	0.5808367799
240	0.5804653001
245	0.5801547694
250	0.5798428384
255	0.5795788854
260	0.5792409387
265	0.5789085931
270	0.5785523321
275	0.5782405117
280	0.5778940895
285	0.5775571746
290	0.5772865887
295	0.5769731469
300	0.5766383324
305	0.5763010489
310	0.5759818217
315	0.575697491
320	0.5754109493
325	0.5751145688
330	0.5748090496
335	0.5744631434
340	0.5741667628
345	0.5739033995
350	0.5736346192
355	0.5733646967
360	0.5730420793
365	0.572782622
370	0.572527255
375	0.5722838272
380	0.5720247752
385	0.571746451
390	0.5714854828
395	0.5712393282
400	0.5709559187
405	0.5706746096
410	0.5704354564
415	0.5701512731
420	0.5698872464
425	0.569621709
430	0.5693778758
435	0.5691504776
440	0.5689305966
445	0.5686712499
450	0.5684042384
455	0.5681424227
460	0.5678982948
465	0.5676593258
470	0.5673754741
475	0.5671366157
480	0.5668819488
485	0.5666224915
490	0.5663449411
495	0.5661483859
500	0.5659174501
505	0.5657030228
510	0.5654483559
515	0.5651426894
520	0.5649198973
525	0.5646990214
530	0.5644516507
535	0.5642333175
540	0.5640275867
545	0.56378707
550	0.563537083
555	0.5632960505
560	0.5630821392
565	0.5628825623
570	0.5626591069
575	0.5624466327
580	0.5622255726
585	0.5620112559
590	0.5618231024
595	0.5615960726
600	0.5613185222
605	0.5610792216
610	0.5608839929
615	0.5606644805
620	0.5604284963
625	0.560224866
630	0.5599903557
635	0.5597484019
640	0.5595377702
645	0.559337788
650	0.5591098002
655	0.5589111445
660	0.5586546352
665	0.5584358228
670	0.5582402626
675	0.5580584103
680	0.5578674193
685	0.5576346411
690	0.5574111857
695	0.5572234007
699	0.5570447912
