iter	Passed	Remaining
0	121	84665
1	242	84745
2	350	81398
3	457	79530
4	568	79006
5	680	78681
6	796	78882
7	909	78634
8	1016	78050
9	1122	77426
10	1232	77179
11	1335	76595
12	1441	76193
13	1549	75915
14	1649	75331
15	1762	75367
16	1863	74849
17	1967	74561
18	2075	74403
19	2181	74157
20	2286	73942
21	2391	73693
22	2495	73463
23	2600	73250
24	2701	72930
25	2809	72832
26	2910	72550
27	3015	72374
28	3115	72075
29	3215	71807
30	3323	71720
31	3425	71516
32	3524	71231
33	3624	71001
34	3729	70864
35	3834	70729
36	3935	70527
37	4038	70350
38	4138	70138
39	4237	69924
40	4344	69823
41	4445	69642
42	4547	69489
43	4651	69349
44	4751	69160
45	4856	69044
46	4955	68854
47	5057	68695
48	5157	68527
49	5259	68370
50	5367	68298
51	5472	68189
52	5570	68000
53	5673	67867
54	5773	67703
55	5882	67648
56	5979	67448
57	6083	67342
58	6184	67194
59	6285	67045
60	6398	67029
61	6500	66895
62	6600	66741
63	6698	66568
64	6802	66452
65	6910	66380
66	7012	66254
67	7112	66100
68	7215	65987
69	7316	65846
70	7419	65729
71	7521	65606
72	7626	65503
73	7728	65380
74	7827	65231
75	7933	65134
76	8039	65045
77	8134	64866
78	8234	64728
79	8335	64600
80	8442	64517
81	8534	64323
82	8631	64166
83	8738	64081
84	8836	63936
85	8929	63752
86	9031	63638
87	9136	63540
88	9237	63417
89	9340	63307
90	9440	63179
91	9542	63064
92	9642	62934
93	9739	62790
94	9836	62642
95	9941	62546
96	10040	62419
97	10133	62250
98	10232	62120
99	10330	61984
100	10439	61910
101	10538	61783
102	10637	61655
103	10734	61516
104	10832	61384
105	10946	61342
106	11039	61183
107	11138	61056
108	11238	60934
109	11339	60820
110	11439	60703
111	11555	60667
112	11656	60549
113	11764	60475
114	11868	60372
115	11968	60257
116	12069	60142
117	12173	60042
118	12268	59898
119	12373	59805
120	12476	59699
121	12572	59567
122	12671	59441
123	12768	59310
124	12864	59177
125	12967	59072
126	13068	58964
127	13176	58882
128	13279	58778
129	13380	58669
130	13486	58580
131	13587	58467
132	13673	58290
133	13766	58150
134	13868	58043
135	13976	57963
136	14083	57876
137	14185	57768
138	14280	57636
139	14382	57531
140	14490	57449
141	14598	57366
142	14698	57250
143	14801	57151
144	14905	57050
145	15005	56939
146	15108	56836
147	15207	56721
148	15310	56617
149	15412	56513
150	15516	56414
151	15611	56285
152	15715	56184
153	15816	56076
154	15913	55955
155	16008	55823
156	16113	55728
157	16216	55629
158	16323	55541
159	16428	55445
160	16534	55356
161	16635	55247
162	16737	55141
163	16835	55024
164	16928	54889
165	17029	54781
166	17137	54695
167	17239	54593
168	17338	54479
169	17440	54372
170	17541	54267
171	17640	54151
172	17739	54039
173	17847	53951
174	17946	53840
175	18052	53745
176	18157	53652
177	18256	53539
178	18356	53428
179	18452	53307
180	18554	53203
181	18658	53104
182	18768	53022
183	18866	52907
184	18964	52792
185	19062	52677
186	19160	52564
187	19271	52484
188	19370	52370
189	19465	52248
190	19559	52125
191	19663	52025
192	19762	51916
193	19864	51811
194	19962	51697
195	20064	51593
196	20168	51497
197	20273	51399
198	20377	51301
199	20479	51198
200	20580	51093
201	20686	51000
202	20791	50902
203	21062	51210
204	21164	51105
205	21267	51001
206	21374	50907
207	21480	50810
208	21587	50714
209	21694	50619
210	21801	50525
211	21902	50417
212	22007	50317
213	22108	50209
214	22203	50087
215	22304	49978
216	22405	49870
217	22511	49773
218	22615	49672
219	22721	49573
220	22831	49485
221	22930	49372
222	23033	49269
223	23132	49156
224	23234	49051
225	23346	48965
226	23453	48870
227	23556	48765
228	23656	48656
229	23756	48546
230	23859	48442
231	23946	48305
232	24052	48208
233	24154	48102
234	24258	48001
235	24366	47906
236	24463	47792
237	24565	47685
238	24665	47575
239	24760	47457
240	24862	47352
241	24966	47249
242	25069	47147
243	25169	47037
244	25274	46938
245	25380	46840
246	25489	46748
247	25591	46642
248	25692	46534
249	25792	46426
250	25894	46321
251	25992	46209
252	26091	46097
253	26191	45990
254	26292	45883
255	26398	45784
256	26496	45673
257	26602	45574
258	26702	45467
259	26805	45363
260	26913	45267
261	27012	45158
262	27110	45047
263	27211	44940
264	27305	44821
265	27416	44731
266	27500	44597
267	27593	44478
268	27698	44379
269	27786	44253
270	27891	44153
271	27988	44040
272	28090	43936
273	28193	43834
274	28295	43729
275	28396	43623
276	28499	43521
277	28599	43413
278	28693	43297
279	28796	43194
280	28902	43097
281	29005	42994
282	29103	42883
283	29207	42783
284	29306	42674
285	29407	42568
286	29537	42505
287	29639	42400
288	29772	42341
289	29875	42238
290	29982	42139
291	30083	42034
292	30185	41930
293	30286	41824
294	30392	41725
295	30498	41626
296	30593	41512
297	30696	41409
298	30801	41308
299	30907	41210
300	31015	41114
301	31117	41009
302	31214	40897
303	31315	40792
304	31416	40686
305	31526	40592
306	31626	40485
307	31727	40380
308	31826	40271
309	31922	40160
310	32027	40059
311	32129	39956
312	32227	39846
313	32326	39739
314	32425	39631
315	32530	39530
316	32636	39431
317	32740	39329
318	32845	39228
319	32944	39121
320	33054	39027
321	33159	38926
322	33259	38819
323	33358	38712
324	33461	38608
325	33564	38506
326	33664	38399
327	33761	38290
328	33860	38183
329	33959	38075
330	34065	37976
331	34167	37872
332	34273	37772
333	34369	37661
334	34467	37554
335	34573	37454
336	34676	37352
337	34782	37252
338	34882	37146
339	34982	37040
340	35089	36941
341	35186	36832
342	35266	36706
343	35364	36597
344	35463	36491
345	35567	36389
346	35667	36284
347	35765	36176
348	35862	36067
349	35966	35966
350	36067	35862
351	36172	35761
352	36269	35653
353	36366	35544
354	36465	35438
355	36588	35355
356	36693	35254
357	36794	35150
358	36897	35047
359	36999	34943
360	37114	34852
361	37211	34744
362	37316	34643
363	37415	34537
364	37502	34420
365	37616	34327
366	37712	34218
367	37815	34116
368	37913	34009
369	38024	33914
370	38133	33816
371	38228	33706
372	38348	33618
373	38456	33521
374	38553	33413
375	38659	33313
376	38768	33215
377	38870	33112
378	38996	33028
379	39102	32928
380	39207	32827
381	39306	32720
382	39412	32620
383	39511	32515
384	39608	32406
385	39711	32304
386	39809	32197
387	39902	32086
388	39998	31978
389	40097	31872
390	40203	31772
391	40294	31659
392	40391	31552
393	40492	31448
394	40595	31345
395	40700	31244
396	40800	31139
397	40896	31032
398	40993	30924
399	41090	30817
400	41200	30720
401	41301	30616
402	41400	30511
403	41504	30408
404	41605	30305
405	41707	30202
406	41812	30101
407	41920	30001
408	42035	29907
409	42136	29803
410	42239	29701
411	42337	29595
412	42436	29489
413	42539	29387
414	42640	29283
415	42740	29178
416	42850	29080
417	42976	28993
418	43074	28887
419	43174	28783
420	43280	28682
421	43378	28576
422	43485	28476
423	43587	28372
424	43686	28267
425	43807	28176
426	43909	28073
427	44006	27966
428	44105	27861
429	44198	27752
430	44294	27645
431	44388	27537
432	44479	27427
433	44583	27325
434	44683	27221
435	44798	27125
436	44893	27018
437	44995	26915
438	45098	26812
439	45201	26710
440	45301	26605
441	45405	26503
442	45511	26402
443	45611	26298
444	45711	26194
445	45818	26093
446	45921	25991
447	46024	25888
448	46134	25790
449	46243	25690
450	46362	25597
451	46474	25499
452	46584	25400
453	46699	25304
454	46820	25210
455	46943	25118
456	47060	25023
457	47171	24924
458	47284	24827
459	47410	24735
460	47529	24640
461	47640	24542
462	47756	24445
463	47870	24348
464	47982	24249
465	48104	24155
466	48223	24060
467	48339	23963
468	48451	23864
469	48559	23763
470	48682	23669
471	48795	23570
472	48919	23477
473	49034	23379
474	49151	23282
475	49269	23185
476	49382	23086
477	49493	22986
478	49602	22885
479	49716	22786
480	49834	22689
481	49942	22588
482	50058	22490
483	50175	22392
484	50302	22299
485	50459	22218
486	50573	22119
487	50683	22018
488	50792	21916
489	50900	21814
490	51026	21720
491	51143	21621
492	51236	21513
493	51341	21409
494	51455	21309
495	51571	21210
496	51686	21111
497	51805	21013
498	51941	20922
499	52051	20820
500	52167	20721
501	52281	20621
502	52393	20519
503	52502	20417
504	52609	20314
505	52724	20214
506	52834	20112
507	52940	20009
508	53050	19906
509	53163	19806
510	53275	19704
511	53390	19604
512	53502	19503
513	53609	19399
514	53729	19300
515	53851	19203
516	53972	19104
517	54088	19004
518	54201	18902
519	54312	18800
520	54453	18708
521	54588	18614
522	54709	18515
523	54822	18413
524	54930	18310
525	55054	18211
526	55177	18113
527	55299	18014
528	55419	17914
529	55559	17820
530	55686	17723
531	55822	17628
532	55936	17526
533	56055	17425
534	56174	17324
535	56305	17227
536	56424	17127
537	56552	17028
538	56679	16930
539	56812	16833
540	56964	16741
541	57085	16641
542	57209	16541
543	57333	16441
544	57451	16339
545	57578	16240
546	57717	16144
547	57845	16044
548	57963	15942
549	58080	15840
550	58214	15742
551	58327	15638
552	58443	15535
553	58571	15435
554	58692	15333
555	58820	15234
556	58957	15136
557	59089	15037
558	59229	14939
559	59370	14842
560	59523	14748
561	59653	14648
562	59775	14545
563	59898	14443
564	60014	14339
565	60134	14236
566	60283	14140
567	60404	14037
